TC-2.1: Gravity Vector Change Test
=====================================

Initial Gravity: (0.00, -9.82, 0.00)
Final Gravity: (9.82, 0.00, 0.00)

Console Logs:
2025-09-13T21:28:27.652Z: Initial Gravity: (0.00, -9.82, 0.00)
2025-09-13T21:28:29.403Z: Edge Detection: Player X=6.57, Wall X=10.00, Distance=2.93
2025-09-13T21:28:29.422Z: Edge Detection: Player X=6.65, Wall X=10.00, Distance=2.85
2025-09-13T21:28:29.440Z: Edge Detection: Player X=6.74, Wall X=10.00, Distance=2.76
2025-09-13T21:28:29.455Z: Edge Detection: Player X=6.84, Wall X=10.00, Distance=2.66
2025-09-13T21:28:29.472Z: Edge Detection: Player X=6.92, Wall X=10.00, Distance=2.58
2025-09-13T21:28:29.487Z: Edge Detection: Player X=7.00, Wall X=10.00, Distance=2.50
2025-09-13T21:28:29.504Z: Edge Detection: Player X=7.08, Wall X=10.00, Distance=2.42
2025-09-13T21:28:29.522Z: Edge Detection: Player X=7.17, Wall X=10.00, Distance=2.33
2025-09-13T21:28:29.540Z: Edge Detection: Player X=7.26, Wall X=10.00, Distance=2.24
2025-09-13T21:28:29.555Z: Edge Detection: Player X=7.34, Wall X=10.00, Distance=2.16
2025-09-13T21:28:29.571Z: Edge Detection: Player X=7.43, Wall X=10.00, Distance=2.07
2025-09-13T21:28:29.586Z: Edge Detection: Player X=7.51, Wall X=10.00, Distance=1.99
2025-09-13T21:28:29.601Z: Edge Detection: Player X=7.59, Wall X=10.00, Distance=1.91
2025-09-13T21:28:29.618Z: Edge Detection: Player X=7.66, Wall X=10.00, Distance=1.84
2025-09-13T21:28:29.633Z: Edge Detection: Player X=7.75, Wall X=10.00, Distance=1.75
2025-09-13T21:28:29.649Z: Edge Detection: Player X=7.83, Wall X=10.00, Distance=1.67
2025-09-13T21:28:29.666Z: Edge Detection: Player X=7.91, Wall X=10.00, Distance=1.59
2025-09-13T21:28:29.682Z: Edge Detection: Player X=8.00, Wall X=10.00, Distance=1.50
